x,y,peso
38.539601976278426,522.9655471817679,0.001
147.52117605682082,503.04497526511454,0.01
491.9363929315793,481.8850537754615,1
258.0846744258774,443.565820819043,0.75
381.2407892895538,396.2704195356642,0.5
406.1351283344347,397.76916941369376,0.5
388.6348889240672,376.5747885213054,0.25
418.15521272635823,375.4830418503124,0.001
219.71523747649084,318.1741451909664,0.25
495.2446463812621,274.04506787616094,0.9
371.27350414985176,235.5118355455383,0.75
246.31152551596924,238.80845601465467,0.75
433.79650912882846,212.61024139555752,1
462.492012707318,115.14579517750622,0.5
473.6898293231408,109.14856062143292,0.5
264.3624307605429,96.63268923570747,0.9
387.05687647239944,46.09422154059758,1
408.54116129016353,18.058532083037456,1
